sno,cno,score
2301610001,C011,63
2301610001,C023,63
2301610001,C020,70
2301610001,C007,100
2301610001,C018,75
2301610001,C013,99
2301610001,C009,1
2301610001,C022,85
2301610001,C008,78
2301610001,C015,98
2301610002,C006,62
2301610002,C019,77
2301610002,C008,97
2301610002,C020,75
2301610002,C022,97
2301610002,C017,62
2301610002,C001,11
2301610002,C010,61
2301610002,C021,74
2301610002,C015,64
2301610002,C004,72
2301610002,C012,71
2301610003,C018,72
2301610003,C005,66
2301610003,C008,83
2301610003,C014,87
2301610003,C013,100
2301610003,C016,69
2301610003,C024,83
2301610003,C011,80
2301610003,C019,92
2301610003,C002,86
2301610003,C003,3
2301610003,C021,95
2301610004,C016,91
2301610004,C006,68
2301610004,C017,92
2301610004,C001,87
2301610004,C005,64
2301610004,C018,79
2301610004,C008,92
2301610004,C013,90
2301610004,C014,66
2301610004,C020,86
2301610004,C015,71
2301610004,C024,80
2301610004,C021,83
2301610005,C009,80
2301610005,C016,90
2301610005,C008,72
2301610005,C011,100
2301610005,C005,72
2301610005,C017,99
2301610005,C001,67
2301610005,C023,96
2301610005,C018,84
2301610005,C015,80
2301610005,C006,86
2301610005,C004,88
2301610005,C020,95
2301610005,C022,63
2301610005,C021,76
2301610006,C019,86
2301610006,C001,85
2301610006,C022,96
2301610006,C013,69
2301610006,C018,96
2301610006,C016,71
2301610006,C024,76
2301610006,C005,71
2301610006,C021,91
2301610006,C007,93
2301610006,C006,90
2301610006,C012,93
2301610006,C004,79
2301610006,C014,90
2301610007,C020,86
2301610007,C014,96
2301610007,C017,82
2301610007,C011,75
2301610007,C019,87
2301610007,C002,65
2301610007,C015,83
2301610007,C012,74
2301610007,C003,45
2301610007,C023,79
2301610007,C016,88
2301610007,C009,93
2301610008,C017,96
2301610008,C019,71
2301610008,C021,90
2301610008,C001,6
2301610008,C020,87
2301610008,C016,83
2301610008,C006,67
2301610008,C007,91
2301610008,C011,63
2301610008,C003,81
2301610008,C004,73
2301610008,C002,59
2301610008,C022,96
2301610008,C008,86
2301610008,C015,67
2301610009,C014,67
2301610009,C021,68
2301610009,C020,64
2301610009,C009,100
2301610009,C018,99
2301610009,C023,63
2301610009,C005,84
2301610009,C003,95
2301610009,C024,90
2301610009,C011,60
2301610009,C010,96
2301610009,C008,55
2301610009,C017,86
2301610009,C019,87
2301610009,C016,64
2301610010,C017,72
2301610010,C019,81
2301610010,C021,69
2301610010,C001,83
2301610010,C014,66
2301610010,C009,48
2301610010,C003,80
2301610010,C016,96
2301610010,C006,89
2301610010,C002,77
2301610010,C022,73
2301610011,C022,40
2301610011,C006,99
2301610011,C008,79
2301610011,C004,81
2301610011,C018,72
2301610011,C007,72
2301610011,C009,70
2301610011,C011,32
2301610011,C017,93
2301610011,C015,98
2301610011,C010,79
2301610011,C024,8
2301610011,C003,63
2301610011,C020,96
2301610011,C005,2
2301610012,C023,72
2301610012,C015,73
2301610012,C021,84
2301610012,C003,60
2301610012,C005,76
2301610012,C017,33
